section,project,key,method,count_before,count_after,delta,validity_ok,smells_before,smells_after,diff_path
regression,29_apbsmem,apbsmem.PlotYAxis,test13,1,5,4,1,Exceptions due to incomplete setup,Asserting object initialization multiple times|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/29_apbsmem/run_20260127_171148/patches/apbsmem/PlotYAxis/test13.diff
regression,96_heal,heal.AdvSearchDAO,test09,2,6,4,1,Duplicated Setup|Exceptions due to incomplete setup,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Not null assertion|Testing only field accesors,output/by_project/96_heal/run_20260128_122524/patches/heal/AdvSearchDAO/test09.diff
regression,1_tullibee,tullibee.ScannerSubscription,test40,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test40.diff
regression,1_tullibee,tullibee.ScannerSubscription,test30,3,6,3,1,Asserting object initialization multiple times|Not asserted side effects|Testing only field accesors,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test30.diff
regression,1_tullibee,tullibee.ScannerSubscription,test04,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test04.diff
regression,1_tullibee,tullibee.ScannerSubscription,test02,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test02.diff
regression,1_tullibee,tullibee.ScannerSubscription,test09,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test09.diff
regression,1_tullibee,tullibee.ScannerSubscription,test00,3,6,3,1,Asserting object initialization multiple times|Not asserted side effects|Testing only field accesors,Asserting Constants|Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test00.diff
regression,1_tullibee,tullibee.ScannerSubscription,test31,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test31.diff
regression,1_tullibee,tullibee.ScannerSubscription,test11,2,5,3,1,Asserting object initialization multiple times|Testing only field accesors,Asserting object initialization multiple times|Duplicated Setup|Multiple calls to the same void method|Not asserted side effects|Testing only field accesors,output/by_project/1_tullibee/run_20260127_030639/patches/tullibee/ScannerSubscription/test11.diff
