project,phase,k_smell_types,count,status
25_jni-inchi,after,2,74,ok
25_jni-inchi,after,3,13,ok
25_jni-inchi,after,4,5,ok
26_jipa,before,1,27,ok
26_jipa,after,1,6,ok
26_jipa,after,2,1,ok
27_gangup,before,1,175,ok
27_gangup,before,2,148,ok
27_gangup,before,3,69,ok
27_gangup,before,4,6,ok
27_gangup,before,5,1,ok
27_gangup,after,1,135,ok
27_gangup,after,2,132,ok
27_gangup,after,3,69,ok
27_gangup,after,4,8,ok
27_gangup,after,5,1,ok
28_greencow,before,1,1,ok
28_greencow,after,2,1,ok
29_apbsmem,before,1,85,ok
29_apbsmem,before,2,112,ok
29_apbsmem,before,3,71,ok
29_apbsmem,before,4,15,ok
29_apbsmem,after,1,95,ok
29_apbsmem,after,2,108,ok
29_apbsmem,after,3,46,ok
29_apbsmem,after,4,6,ok
29_apbsmem,after,5,3,ok
30_bpmail,before,1,45,ok
30_bpmail,before,2,55,ok
30_bpmail,before,3,18,ok
30_bpmail,before,4,4,ok
30_bpmail,after,1,40,ok
30_bpmail,after,2,44,ok
30_bpmail,after,3,20,ok
30_bpmail,after,4,5,ok
31_xisemele,before,1,97,ok
31_xisemele,before,2,53,ok
31_xisemele,before,3,16,ok
31_xisemele,before,4,1,ok
31_xisemele,after,1,127,ok
31_xisemele,after,2,25,ok
31_xisemele,after,3,5,ok
31_xisemele,after,4,1,ok
32_httpanalyzer,before,1,16,ok
32_httpanalyzer,before,2,10,ok
32_httpanalyzer,before,3,3,ok
32_httpanalyzer,after,1,9,ok
32_httpanalyzer,after,2,13,ok
32_httpanalyzer,after,3,1,ok
33_javaviewcontrol,before,1,83,ok
33_javaviewcontrol,before,2,57,ok
33_javaviewcontrol,before,3,12,ok
33_javaviewcontrol,before,4,2,ok
33_javaviewcontrol,before,5,2,ok
33_javaviewcontrol,after,1,83,ok
33_javaviewcontrol,after,2,62,ok
33_javaviewcontrol,after,3,9,ok
33_javaviewcontrol,after,4,1,ok
34_sbmlreader2,before,1,10,ok
34_sbmlreader2,before,2,4,ok
34_sbmlreader2,after,1,12,ok
34_sbmlreader2,after,2,1,ok
35_corina,before,1,572,ok
35_corina,before,2,419,ok
35_corina,before,3,165,ok
35_corina,before,4,45,ok
35_corina,before,5,4,ok
35_corina,after,1,541,ok
35_corina,after,2,419,ok
35_corina,after,3,141,ok
35_corina,after,4,29,ok
35_corina,after,5,4,ok
36_schemaspy,before,1,222,ok
36_schemaspy,before,2,144,ok
36_schemaspy,before,3,56,ok
36_schemaspy,before,4,6,ok
36_schemaspy,after,1,232,ok
36_schemaspy,after,2,120,ok
36_schemaspy,after,3,43,ok
36_schemaspy,after,4,12,ok
36_schemaspy,after,5,1,ok
37_petsoar,before,1,76,ok
37_petsoar,before,2,169,ok
37_petsoar,before,3,16,ok
37_petsoar,after,1,92,ok
37_petsoar,after,2,128,ok
37_petsoar,after,3,21,ok
37_petsoar,after,4,1,ok
38_javabullboard,before,1,164,ok
38_javabullboard,before,2,67,ok
38_javabullboard,before,3,19,ok
38_javabullboard,before,4,2,ok
38_javabullboard,after,1,113,ok
38_javabullboard,after,2,96,ok
38_javabullboard,after,3,11,ok
39_diffi,before,1,27,ok
39_diffi,before,2,13,ok
39_diffi,before,3,5,ok
39_diffi,before,4,1,ok
39_diffi,after,1,12,ok
39_diffi,after,2,21,ok
39_diffi,after,3,4,ok
39_diffi,after,4,2,ok
40_glengineer,before,1,160,ok
40_glengineer,before,2,98,ok
40_glengineer,before,3,12,ok
40_glengineer,after,1,148,ok
40_glengineer,after,2,82,ok
40_glengineer,after,3,11,ok
40_glengineer,after,4,1,ok
41_follow,before,1,98,ok
41_follow,before,2,50,ok
41_follow,before,3,22,ok
41_follow,before,4,10,ok
41_follow,before,5,1,ok
41_follow,after,1,94,ok
41_follow,after,2,37,ok
41_follow,after,3,23,ok
41_follow,after,4,6,ok
42_asphodel,before,1,22,ok
42_asphodel,before,2,19,ok
42_asphodel,before,3,6,ok
42_asphodel,before,4,5,ok
42_asphodel,after,1,14,ok
42_asphodel,after,2,27,ok
42_asphodel,after,3,3,ok
42_asphodel,after,4,4,ok
45_lotus,before,1,36,ok
45_lotus,before,2,9,ok
45_lotus,before,3,3,ok
45_lotus,before,4,2,ok
45_lotus,after,1,21,ok
45_lotus,after,2,12,ok
45_lotus,after,3,2,ok
45_lotus,after,4,1,ok
46_nutzenportfolio,before,1,93,ok
46_nutzenportfolio,before,2,426,ok
46_nutzenportfolio,before,3,56,ok
46_nutzenportfolio,before,4,12,ok
46_nutzenportfolio,after,1,109,ok
46_nutzenportfolio,after,2,397,ok
46_nutzenportfolio,after,3,53,ok
46_nutzenportfolio,after,4,5,ok
47_dvd-homevideo,before,1,14,ok
47_dvd-homevideo,before,2,5,ok
47_dvd-homevideo,after,1,2,ok
47_dvd-homevideo,after,2,4,ok
48_resources4j,before,1,3,ok
48_resources4j,before,2,14,ok
48_resources4j,before,3,3,ok
48_resources4j,after,1,9,ok
48_resources4j,after,2,6,ok
48_resources4j,after,3,3,ok
49_diebierse,before,1,28,ok
49_diebierse,before,2,41,ok
49_diebierse,before,3,46,ok
49_diebierse,before,4,1,ok
49_diebierse,after,1,23,ok
49_diebierse,after,2,39,ok
49_diebierse,after,3,36,ok
49_diebierse,after,4,1,ok
50_biff,before,1,31,ok
50_biff,before,2,2,ok
50_biff,after,1,27,ok
51_jiprof,before,1,347,ok
51_jiprof,before,2,233,ok
51_jiprof,before,3,184,ok
51_jiprof,before,4,46,ok
51_jiprof,before,5,38,ok
51_jiprof,after,1,387,ok
51_jiprof,after,2,193,ok
51_jiprof,after,3,98,ok
51_jiprof,after,4,73,ok
51_jiprof,after,5,2,ok
52_lagoon,before,1,191,ok
52_lagoon,before,2,128,ok
52_lagoon,before,3,56,ok
52_lagoon,before,4,24,ok
52_lagoon,before,5,5,ok
52_lagoon,after,1,179,ok
52_lagoon,after,2,93,ok
52_lagoon,after,3,49,ok
52_lagoon,after,4,13,ok
52_lagoon,after,5,5,ok
53_shp2kml,before,1,7,ok
53_shp2kml,before,2,3,ok
53_shp2kml,after,1,4,ok
53_shp2kml,after,2,1,ok
54_db-everywhere,before,1,216,ok
54_db-everywhere,before,2,420,ok
54_db-everywhere,before,3,153,ok
