project,smell_type,count_before,count_after,delta,status
12_dsachat,Testing only field accesors,26,22,-4,ok
12_dsachat,Testing the same exception scenario,4,0,-4,ok
13_jdbacl,Asserting Constants,16,12,-4,ok
13_jdbacl,Asserting object initialization multiple times,558,477,-81,ok
13_jdbacl,Duplicated Setup,267,224,-43,ok
13_jdbacl,Exceptions due to incomplete setup,93,58,-35,ok
13_jdbacl,Exceptions due to null arguments,84,73,-11,ok
13_jdbacl,Multiple calls to the same void method,54,63,9,ok
13_jdbacl,Not asserted return values,97,96,-1,ok
13_jdbacl,Not asserted side effects,128,142,14,ok
13_jdbacl,Not null assertion,9,20,11,ok
13_jdbacl,Testing only field accesors,136,107,-29,ok
13_jdbacl,Testing the same exception scenario,132,103,-29,ok
14_omjstate,Asserting object initialization multiple times,28,25,-3,ok
14_omjstate,Duplicated Setup,12,5,-7,ok
14_omjstate,Multiple calls to the same void method,2,2,0,ok
14_omjstate,Not asserted return values,10,0,-10,ok
14_omjstate,Not asserted side effects,2,2,0,ok
14_omjstate,Testing only field accesors,7,6,-1,ok
15_beanbin,Asserting object initialization multiple times,40,33,-7,ok
15_beanbin,Duplicated Setup,30,25,-5,ok
15_beanbin,Exceptions due to incomplete setup,1,0,-1,ok
15_beanbin,Exceptions due to null arguments,5,2,-3,ok
15_beanbin,Multiple calls to the same void method,2,4,2,ok
15_beanbin,Not asserted return values,7,3,-4,ok
15_beanbin,Not asserted side effects,15,13,-2,ok
15_beanbin,Not null assertion,0,5,5,ok
15_beanbin,Testing only field accesors,23,22,-1,ok
15_beanbin,Testing the same exception scenario,11,4,-7,ok
16_templatedetails,Asserting object initialization multiple times,1,1,0,ok
16_templatedetails,Duplicated Setup,4,4,0,ok
16_templatedetails,Multiple calls to the same void method,0,5,5,ok
16_templatedetails,Not asserted return values,0,2,2,ok
16_templatedetails,Not asserted side effects,6,8,2,ok
16_templatedetails,Not null assertion,0,1,1,ok
16_templatedetails,Testing only field accesors,4,4,0,ok
16_templatedetails,Testing the same exception scenario,4,0,-4,ok
17_inspirento,Asserting object initialization multiple times,79,88,9,ok
17_inspirento,Duplicated Setup,43,46,3,ok
17_inspirento,Exceptions due to external dependencies,1,0,-1,ok
17_inspirento,Exceptions due to incomplete setup,3,1,-2,ok
17_inspirento,Exceptions due to null arguments,2,0,-2,ok
17_inspirento,Multiple calls to the same void method,19,21,2,ok
17_inspirento,Not asserted return values,33,12,-21,ok
17_inspirento,Not asserted side effects,41,34,-7,ok
17_inspirento,Not null assertion,2,6,4,ok
17_inspirento,Testing only field accesors,27,19,-8,ok
17_inspirento,Testing the same exception scenario,17,0,-17,ok
18_jsecurity,Asserting Constants,20,22,2,ok
18_jsecurity,Asserting object initialization multiple times,460,430,-30,ok
18_jsecurity,Duplicated Setup,361,293,-68,ok
18_jsecurity,Exceptions due to external dependencies,1,1,0,ok
18_jsecurity,Exceptions due to incomplete setup,9,9,0,ok
18_jsecurity,Exceptions due to null arguments,65,49,-16,ok
18_jsecurity,Multiple calls to the same void method,110,103,-7,ok
18_jsecurity,Not asserted return values,208,197,-11,ok
18_jsecurity,Not asserted side effects,205,197,-8,ok
