project,key,method,count_before,count_after,delta,validity_ok,success
1_tullibee,tullibee.EClientSocket,test30,2,2,0,1,0
1_tullibee,tullibee.ScannerSubscription,test17,3,4,1,1,0
1_tullibee,tullibee.Order,test46,2,2,0,1,0
1_tullibee,tullibee.Order,test43,2,2,0,1,0
1_tullibee,tullibee.TickType,test36,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test01,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test14,3,5,2,1,0
1_tullibee,tullibee.ScannerSubscription,test26,3,4,1,1,0
1_tullibee,tullibee.ScannerSubscription,test02,2,5,3,1,0
1_tullibee,tullibee.EClientErrors,test2,1,1,0,0,0
1_tullibee,tullibee.EClientSocket,test10,1,0,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test21,3,4,1,1,0
1_tullibee,tullibee.EClientSocket,test05,1,0,-1,1,1
1_tullibee,tullibee.EReader,test13,2,2,0,0,0
1_tullibee,tullibee.ScannerSubscription,test18,2,3,1,1,0
1_tullibee,tullibee.ScannerSubscription,test27,3,4,1,1,0
1_tullibee,tullibee.Contract,test07,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test33,3,5,2,1,0
1_tullibee,tullibee.ExecutionFilter,test5,2,2,0,1,0
1_tullibee,tullibee.Order,test56,2,2,0,1,0
1_tullibee,tullibee.TickType,test44,1,1,0,1,0
1_tullibee,tullibee.Util,test08,1,1,0,1,0
1_tullibee,tullibee.TickType,test50,1,0,-1,1,1
1_tullibee,tullibee.Contract,test09,2,2,0,1,0
1_tullibee,tullibee.ComboLeg,test1,1,1,0,1,0
1_tullibee,tullibee.TickType,test09,1,1,0,1,0
1_tullibee,tullibee.EReader,test26,2,2,0,1,0
1_tullibee,tullibee.TagValue,test2,1,0,-1,1,1
1_tullibee,tullibee.EReader,test24,3,3,0,0,0
1_tullibee,tullibee.ScannerSubscription,test36,3,3,0,1,0
1_tullibee,tullibee.TickType,test00,1,1,0,1,0
1_tullibee,tullibee.TickType,test45,1,1,0,1,0
1_tullibee,tullibee.Util,test06,1,0,-1,1,1
1_tullibee,tullibee.Order,test24,2,2,0,1,0
1_tullibee,tullibee.TickType,test31,1,0,-1,1,1
1_tullibee,tullibee.Order,test34,2,2,0,1,0
1_tullibee,tullibee.Contract,test20,2,1,-1,1,1
1_tullibee,tullibee.TickType,test20,1,0,-1,1,1
1_tullibee,tullibee.ComboLeg,test3,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test04,1,0,-1,1,1
1_tullibee,tullibee.EReader,test48,1,1,0,0,0
1_tullibee,tullibee.Order,test38,3,2,-1,1,1
1_tullibee,tullibee.EException,test1,3,1,-2,1,1
1_tullibee,tullibee.EClientSocket,test37,1,0,-1,1,1
1_tullibee,tullibee.Order,test48,2,2,0,1,0
1_tullibee,tullibee.ExecutionFilter,test1,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test28,1,2,1,1,0
1_tullibee,tullibee.TickType,test32,1,0,-1,1,1
1_tullibee,tullibee.UnderComp,test0,2,0,-2,1,1
1_tullibee,tullibee.TickType,test42,1,1,0,1,0
1_tullibee,tullibee.EClientSocket,test41,2,1,-1,1,1
1_tullibee,tullibee.EReader,test36,1,1,0,0,0
1_tullibee,tullibee.ScannerSubscription,test09,2,5,3,1,0
1_tullibee,tullibee.AnyWrapperMsgGenerator,test4,1,1,0,1,0
1_tullibee,tullibee.TickType,test11,1,0,-1,1,1
1_tullibee,tullibee.EClientSocket,test22,2,2,0,1,0
1_tullibee,tullibee.ExecutionFilter,test3,2,1,-1,1,1
1_tullibee,tullibee.ScannerSubscription,test00,3,6,3,1,0
1_tullibee,tullibee.ComboLeg,test2,1,1,0,1,0
1_tullibee,tullibee.OrderState,test07,1,2,1,1,0
1_tullibee,tullibee.ScannerSubscription,test31,2,5,3,1,0
1_tullibee,tullibee.TickType,test46,1,0,-1,1,1
1_tullibee,tullibee.TickType,test43,1,1,0,1,0
1_tullibee,tullibee.ScannerSubscription,test20,3,4,1,1,0
1_tullibee,tullibee.Order,test12,2,2,0,1,0
1_tullibee,tullibee.EClientSocket,test08,1,0,-1,1,1
1_tullibee,tullibee.EReader,test07,1,1,0,0,0
1_tullibee,tullibee.EException,test2,2,0,-2,1,1
1_tullibee,tullibee.ScannerSubscription,test32,3,3,0,1,0
1_tullibee,tullibee.Order,test07,2,2,0,1,0
